name,address,website,phone_number,reviews_count,reviews_average,email
,"50 The Vale, London NW11 8SG, United Kingdom",emergencydentistnw11.com,+44 20 8455 0465,,4.7,
,"118 Ladbroke Grove, London W10 5NE, United Kingdom",ladbrokegrovedentalcare.co.uk,+44 20 7727 9836,,4.4,
,"15 Pall Mall, London SW1Y 5LU, United Kingdom",pallmalldental.co.uk,+44 20 7766 7150,,4.8,
,"91 Borough High St, London Brg, London SE1 1NL, United Kingdom",bridgedental.com,+44 20 7407 2174,,4.9,
,"62 Gloucester Pl, London W1U 8HW, United Kingdom",bonddental.co.uk,+44 20 7224 3566,,4.8,
,"45-46 Lower Marsh, London SE1 7RG, United Kingdom",toothlondon.co.uk,+44 20 7928 2875,,5.0,
,"109 Lever St, London EC1V 3RQ, United Kingdom",thelondondentalcentre.co.uk,+44 20 3667 7070,,4.8,
,"10 Lloyd's Ave, Tower Hill, London EC3N 3AX, United Kingdom",londoncitydentists.com,+44 20 7488 4445,,5.0,
,"139 Euston Rd., London NW1 2AA, United Kingdom",thedentalcentrelondon.com,+44 20 7380 0034,,4.6,
,"108-110 Tooley St, London SE1 2TH, United Kingdom",lbdp.co.uk,+44 20 7407 1920,,4.8,
