name,address,website,phone_number,reviews_count,reviews_average,email
,"31-56 Steinway St, Astoria, NY 11103, United States",astoriamodernfamilydental.com,+1 718-721-4700,,3.8,
,"630 5th Ave, New York, NY 10111, United States",madison.toothdocsdental.com,+1 212-969-9490,,4.8,
,"209 E 56th St 1st floor, New York, NY 10022, United States",209nycdental.com,+1 212-355-2290,,4.8,
,"245 E 63rd St #110, New York, NY 10065, United States",newyorkdentaloffice.com,+1 212-548-3261,,4.9,
,"233 Broadway 18 Floor, Suite 1801, New York, NY 10279, United States",pearldentalnyc.com,+1 212-344-9317,,4.9,
,"12 E 41st St suite 1100, New York, NY 10017, United States",midtowndentalcareassociates.com,+1 212-685-4730,,4.9,
,"133 E 58th St Ste 409, New York, NY 10022, United States",newyorkgeneraldentistry.com,+1 212-838-0842,,4.9,
,"241 W 37th St Ground Floor, New York, NY 10018, United States",midtowndentalgroup.com,+1 212-730-4440,,4.9,
,"41 Park Ave # 1C, New York, NY 10016, United States",studiosmilesnyc.com,+1 646-470-1376,,4.9,
,"10 W 46th St #1401, New York, NY 10036, United States",dddentalnyc.com,+1 212-759-5595,,4.9,
,"30 E 60th St Suite 1201, New York, NY 10022, United States",nycsmilespa.com,+1 646-374-2242,,4.9,
,"110 E 40th St #104, New York, NY 10016, United States",expertdentalnyc.com,+1 212-763-3383,,4.5,
,"111 Broadway Suite 1304, New York, NY 10006, United States",skydentalnyc.com,+1 212-600-1996,,4.9,
,"200 E 72nd St, New York, NY 10021, United States",dentalartsny.com,+1 212-628-3300,,4.9,
,"108 E 23rd St, New York, NY 10010, United States",dentist-holistic.com,+1 212-475-0284,,4.9,
,"8 Gramercy Pk S #1b, New York, NY 10003, United States",gramercydental.nyc,+1 212-614-2662,,4.9,
,"110 E 60th St # 902, New York, NY 10022, United States",lesbellesnyc.com,+1 212-804-8884,,4.9,
,"20 E 46th St Rm 1301, New York, NY 10017, United States",sachardental.com,+1 212-752-1163,,5.0,
,"57 W 57th St #605, New York, NY 10019, United States",nylaserdentist.com,+1 212-371-1414,,5.0,
,"55 E 9th St, New York, NY 10003, United States",advanceddentalartsnyc.com,+1 212-388-1170,,4.8,
