name,address,website,phone_number,reviews_count,reviews_average,email
,"28/60 Royal St, East Perth WA 6004, Australia",mendelsohndental.com.au,+61 8 9225 6564,,4.9,
,"864 Beaufort St, Inglewood WA 6052, Australia",dental864.com.au,+61 8 9271 1443,,4.8,
,"497 Wellington St, Perth WA 6000, Australia",perthdentalcentre.com.au,+61 8 9222 5900,,4.8,
,"Upper Level Forrest Chase, T18/200-204 Murray St, Perth WA 6000, Australia",lifecaredental.com.au,+61 8 9221 2777,,4.7,
,"3-4 Kings Square, 570 Wellington St, Perth WA 6000, Australia",nationaldentalcare.com.au,+61 8 9235 8900,,4.9,
,"39 Colin St, West Perth WA 6005, Australia",wperthdental.com.au,+61 8 9473 6325,,4.9,
,"1/58 St Georges Terrace, Perth WA 6000, Australia",perthprimedental.com.au,+61 8 9325 4175,,4.9,
,"Anzac house, Level 2/28 St Georges Terrace, Perth WA 6000, Australia",aandbdental.com,+61 8 6183 9989,,5.0,
,"Level 1, Wentworth Building, 300 Murray St, Perth WA 6000, Australia",perthdentalrooms.com.au,+61 8 9322 5340,,4.7,
,"level 1/160 St Georges Terrace, Perth WA 6000, Australia",vdentist.com.au,+61 8 6336 7100,,4.8,
