name,address,website,phone_number,reviews_count,reviews_average,email
,"225 Park Ave S, New York, NY 10003, United States",boucherieus.com,+1 212-353-0200,,4.7,
,"42 E 20th St, New York, NY 10003, United States",gramercytavern.com,+1 212-477-0777,,4.6,
,"9 W 53rd St, New York, NY 10019, United States",themodernnyc.com,+1 212-333-1220,,4.6,
,"196 Spring St, New York, NY 10012, United States",piccolacucinagroup.com,+1 646-478-7488,,4.6,
,"28 Liberty St 60th floor, New York, NY 10005, United States",manhattarestaurant.com,+1 212-230-5788,,4.7,
,"345 Park Ave S, New York, NY 10010, United States",uplandnyc.com,+1 212-686-1006,,4.5,
,"138 Lafayette St, New York, NY 10013, United States",lecoucou.com,+1 212-271-4252,,4.5,
,"51 Grove St, New York, NY 10014, United States",viacarota.com,+1 212-255-1962,,4.4,
,"75 Thompson St, New York, NY 10012, United States",piccolacucinagroup.com,+1 646-781-9183,,4.6,
,"First Floor, 14 Christopher St, New York, NY 10014, United States",boucherieus.com,+1 646-756-4145,,4.7,
,"155 W 51st St, New York, NY 10019, United States",le-bernardin.com,+1 212-554-1515,,4.6,
,"75 9th Ave, New York, NY 10011, United States",lostacos1.com,,,4.7,
,"33 Cortlandt Alley, New York, NY 10013, United States",auchevaldiner.com,+1 646-350-2429,,4.7,
,"82 Reade St, New York, NY 10007, United States",1803nyc.com,+1 212-267-3000,,4.5,
,"113 MacDougal St, New York, NY 10012, United States",minettatavernny.com,+1 212-475-3850,,4.5,
,"43 E 19th St, New York, NY 10003, United States",craftrestaurant.com,+1 212-780-0880,,4.5,
,"70 Pine St Ground Floor, New York, NY 10005, United States",crownshy.nyc,+1 212-517-1932,,4.5,
,"180 Prince St, New York, NY 10012, United States",raouls.com,+1 212-966-3518,,4.5,
,"120 Cedar St, New York, NY 10006, United States",oharasrestaurantandpub.site,+1 212-267-3032,,4.6,
,"652 10th Ave, New York, NY 10036, United States",kochinyc.com,+1 646-478-7308,,4.6,
